Record_ID,Year,Country,Region,Income_Level,Depression_Rate_Pct,Anxiety_Rate_Pct,Bipolar_Disorder_Rate_Pct,Schizophrenia_Rate_Pct,PTSD_Rate_Pct,Eating_Disorder_Rate_Pct,Substance_Use_Disorder_Pct,Suicide_Rate_Per_100k,Treatment_Gap_Pct,Healthcare_Access_Index,Psychiatrists_Per_100k,Govt_MentalHealth_Spending_PctGDP,Avg_Daily_Screen_Time_Hours,Unemployment_Rate_Pct,Urbanization_Rate_Pct,Social_Support_Index,Stigma_Index,Mental_Health_Crisis_Index,Crisis_Level
GMHCI-0001,2021,Vietnam,Asia,Lower-Middle,9.38,9.39,0.64,1.191,1.05,3.19,9.34,10.43,70.6,44.2,1.17,1.1,6.0,14.8,92.8,49.7,65.3,56.65,High
GMHCI-0002,2024,Netherlands,Europe,High,13.24,11.12,2.98,0.422,6.16,0.83,5.82,13.76,31.4,85.5,12.97,10.53,3.8,5.7,40.5,55.7,6.1,53.33,High
GMHCI-0003,2018,Poland,Europe,Upper-Middle,8.12,8.07,0.63,0.725,6.12,3.3,10.27,16.68,63.8,50.0,9.43,4.17,5.0,27.2,59.0,39.8,51.0,59.2,High
GMHCI-0004,2017,Russia,Europe,Upper-Middle,9.4,10.04,3.05,0.279,4.28,2.75,11.75,16.9,73.5,70.1,5.46,4.86,8.6,18.6,40.0,42.0,23.1,60.37,High
GMHCI-0005,2019,Colombia,South America,Upper-Middle,8.74,15.19,2.58,1.027,8.35,1.04,6.44,17.45,50.4,54.4,2.39,5.5,7.4,15.4,77.6,81.7,40.3,63.94,High
GMHCI-0006,2023,Philippines,Asia,Lower-Middle,4.84,10.52,0.81,0.499,2.31,1.31,7.22,5.19,84.9,34.0,1.41,1.21,5.8,21.4,72.3,77.8,71.8,47.26,Moderate
GMHCI-0007,2016,Egypt,Africa,Lower-Middle,8.21,7.31,2.92,0.675,4.47,1.66,2.31,11.96,71.9,32.4,0.39,1.51,8.8,21.5,69.9,87.7,60.3,54.71,High
GMHCI-0008,2018,Ethiopia,Africa,Low,4.2,9.09,2.57,0.449,6.63,1.9,7.99,5.97,91.7,20.5,0.39,0.6,7.8,17.9,76.3,25.8,73.7,47.48,Moderate
GMHCI-0009,2024,Thailand,Asia,Upper-Middle,8.69,17.66,1.12,1.148,2.85,1.04,8.12,13.55,54.4,65.5,8.73,5.6,3.3,22.7,35.4,26.5,40.9,61.4,High
GMHCI-0010,2018,Australia,Oceania,High,17.63,19.13,2.38,0.885,6.71,3.0,3.83,13.83,53.1,81.6,13.42,9.66,3.7,15.0,93.6,75.1,11.7,70.97,High
GMHCI-0011,2021,Indonesia,Asia,Lower-Middle,4.53,10.25,0.98,0.387,4.51,1.38,11.15,8.25,82.1,27.3,0.95,1.9,4.5,12.4,84.7,22.9,76.1,51.05,High
GMHCI-0012,2017,Sweden,Europe,High,8.14,21.14,1.9,1.036,5.08,2.11,4.58,5.37,29.6,87.0,22.4,7.49,5.9,10.5,66.5,78.6,17.4,45.12,Moderate
GMHCI-0013,2017,Saudi Arabia,Asia,High,14.79,21.14,1.89,0.879,8.9,1.04,5.0,14.41,52.7,71.2,14.69,8.67,10.6,13.1,55.4,85.3,19.6,70.78,High
GMHCI-0014,2020,Tanzania,Africa,Low,3.72,4.76,0.57,0.619,1.67,2.57,6.41,7.94,86.2,13.0,0.45,0.45,5.9,24.1,91.5,57.2,86.0,46.62,Moderate
GMHCI-0015,2023,Colombia,South America,Upper-Middle,14.26,16.79,1.42,0.301,4.23,2.31,2.59,16.01,66.1,61.0,9.72,3.17,5.7,13.0,97.2,93.3,31.3,72.12,High
GMHCI-0016,2022,Colombia,South America,Upper-Middle,9.7,15.86,2.42,0.266,6.32,0.68,3.91,12.99,67.6,70.7,4.85,4.8,3.9,8.0,94.4,84.6,25.2,60.06,High
GMHCI-0017,2021,South Korea,Asia,High,17.53,11.46,2.84,0.965,8.99,2.35,10.23,6.17,38.6,71.5,14.99,8.56,8.8,22.0,46.4,62.5,34.7,54.45,High
GMHCI-0018,2019,Mexico,North America,Upper-Middle,10.91,16.55,1.88,0.941,4.02,3.2,4.87,11.55,56.3,48.3,4.06,4.47,10.8,9.8,88.1,52.2,46.6,61.85,High
GMHCI-0019,2015,Ghana,Africa,Lower-Middle,11.66,8.52,0.54,0.517,4.81,3.01,8.83,9.48,73.0,48.9,0.36,2.25,5.2,3.9,32.1,20.0,56.4,56.74,High
GMHCI-0020,2018,Iran,Asia,Upper-Middle,7.22,16.15,2.06,0.49,4.39,3.84,9.92,8.6,54.4,58.9,7.9,5.39,6.1,20.1,56.1,78.4,36.8,50.5,High
GMHCI-0021,2023,Indonesia,Asia,Lower-Middle,7.32,10.58,2.37,0.787,6.21,3.85,2.65,4.39,83.1,40.0,1.97,1.94,10.1,10.4,25.3,37.6,60.5,47.68,Moderate
GMHCI-0022,2022,Colombia,South America,Upper-Middle,10.98,13.47,1.17,0.922,3.67,2.47,11.51,12.68,50.8,75.0,5.41,2.64,6.7,16.6,47.6,74.6,29.4,57.29,High
GMHCI-0023,2018,South Africa,Africa,Upper-Middle,9.54,11.77,1.52,0.562,5.59,1.51,7.75,13.77,66.9,70.4,9.76,3.19,7.3,7.0,81.7,77.5,21.5,56.54,High
GMHCI-0024,2022,New Zealand,Oceania,High,13.9,17.65,0.8,0.728,8.95,2.19,9.85,5.2,31.6,90.5,11.92,5.53,9.6,15.5,36.8,31.0,14.1,49.52,Moderate
GMHCI-0025,2020,Brazil,South America,Upper-Middle,13.06,12.21,2.53,0.259,2.0,1.31,7.83,12.06,61.5,57.6,8.61,3.59,6.3,20.8,42.3,92.7,44.4,62.06,High
GMHCI-0026,2018,France,Europe,High,16.95,11.53,2.97,0.954,8.86,1.4,8.64,6.95,39.3,86.4,19.28,4.12,8.5,15.1,34.3,39.5,23.6,53.23,High
GMHCI-0027,2022,Spain,Europe,High,17.46,18.97,1.96,1.155,4.89,3.28,10.04,12.22,51.7,77.4,10.48,5.07,5.5,12.3,33.7,72.1,32.2,71.21,High
GMHCI-0028,2017,New Zealand,Oceania,High,10.92,18.96,1.8,0.736,7.74,2.07,6.51,10.75,29.6,93.6,11.77,6.27,3.9,25.7,47.8,51.5,11.8,53.63,High
GMHCI-0029,2017,Kenya,Africa,Lower-Middle,6.48,6.84,3.3,1.143,8.31,3.5,9.34,7.96,79.9,23.2,1.74,0.68,9.4,10.2,32.6,48.8,69.5,48.93,Moderate
GMHCI-0030,2016,Mexico,North America,Upper-Middle,13.32,8.48,2.2,0.867,8.09,1.42,3.2,17.97,61.0,74.7,7.34,5.81,10.5,15.0,27.9,41.4,21.1,63.67,High
GMHCI-0031,2017,Canada,North America,High,9.25,21.32,2.09,0.841,7.75,3.03,3.6,6.38,41.0,71.4,19.42,11.5,3.3,27.5,65.9,78.3,27.1,51.43,High
GMHCI-0032,2021,Nigeria,Africa,Lower-Middle,7.07,6.67,3.27,0.527,5.28,1.93,3.66,10.7,84.9,23.2,1.0,1.75,6.6,3.7,89.5,81.6,74.5,54.91,High
GMHCI-0033,2021,Colombia,South America,Upper-Middle,9.83,13.08,3.15,0.376,5.44,3.0,9.03,15.22,74.7,50.0,9.0,2.96,7.4,27.9,71.4,81.0,44.4,64.78,High
GMHCI-0034,2017,Colombia,South America,Upper-Middle,6.89,14.95,1.59,0.207,3.28,3.42,4.32,12.15,54.8,50.0,9.46,2.11,5.4,11.8,77.0,36.4,49.1,55.79,High
GMHCI-0035,2024,Japan,Asia,High,8.28,14.95,2.31,0.279,4.01,3.27,4.33,4.71,34.7,72.8,24.56,4.12,9.8,14.1,35.7,37.6,26.2,40.87,Moderate
GMHCI-0036,2021,United States,North America,High,16.72,11.62,1.0,0.839,7.41,2.56,7.86,6.35,40.4,92.6,21.36,9.36,10.1,3.1,32.7,82.5,3.8,49.36,Moderate
GMHCI-0037,2017,Pakistan,Asia,Lower-Middle,8.66,8.26,3.44,0.244,4.7,2.47,3.46,6.12,83.1,28.2,1.08,2.11,7.8,19.5,88.3,86.5,77.2,52.34,High
GMHCI-0038,2021,South Africa,Africa,Upper-Middle,9.84,14.28,1.83,0.758,2.89,2.91,7.41,12.26,50.9,48.3,8.99,3.59,3.4,20.8,64.8,60.0,61.6,60.71,High
GMHCI-0039,2015,Netherlands,Europe,High,10.06,13.87,3.37,0.889,4.21,3.87,4.28,12.16,32.9,97.0,21.89,6.37,9.1,18.4,81.7,55.3,3.4,49.02,Moderate
GMHCI-0040,2022,Sweden,Europe,High,8.14,19.21,3.26,0.314,6.98,1.01,10.66,4.92,36.2,80.2,23.57,5.59,8.5,26.9,29.6,38.7,20.6,44.23,Moderate
GMHCI-0041,2023,Ukraine,Europe,Lower-Middle,5.73,6.43,2.28,0.63,7.33,0.74,5.34,10.62,82.6,28.2,0.84,2.06,6.7,23.7,63.2,90.5,63.3,50.69,High
GMHCI-0042,2017,Vietnam,Asia,Lower-Middle,11.99,13.91,2.53,0.797,8.91,1.39,11.93,10.28,85.8,46.0,0.39,2.36,11.0,25.9,43.1,20.7,52.5,64.58,High
GMHCI-0043,2022,Bangladesh,Asia,Lower-Middle,11.31,12.11,1.77,0.478,4.7,2.63,7.07,5.13,76.4,35.0,0.85,2.34,9.9,10.1,95.7,77.6,61.2,54.72,High
GMHCI-0044,2017,Brazil,South America,Upper-Middle,12.27,17.98,2.41,0.717,4.14,1.58,3.07,17.12,67.0,50.3,4.07,3.52,9.0,8.8,32.4,38.9,41.8,73.69,High
GMHCI-0045,2017,New Zealand,Oceania,High,16.0,13.03,3.24,1.083,7.04,1.9,7.38,5.73,33.3,96.0,18.41,10.55,5.7,9.6,63.3,33.0,11.2,48.8,Moderate
GMHCI-0046,2021,New Zealand,Oceania,High,13.09,20.75,3.22,1.025,6.61,2.36,6.64,5.35,29.8,82.6,18.66,9.22,7.4,23.1,46.2,86.3,14.9,51.27,High
GMHCI-0047,2016,Germany,Europe,High,10.99,20.05,2.1,0.645,2.54,0.96,4.63,12.21,47.3,93.5,15.34,8.07,10.9,3.6,73.3,61.3,0.0,57.69,High
GMHCI-0048,2017,Germany,Europe,High,14.03,12.46,0.94,1.066,2.29,1.46,9.98,11.73,47.2,96.3,18.36,11.04,7.9,16.0,83.6,40.5,12.2,56.16,High
GMHCI-0049,2017,China,Asia,Upper-Middle,8.46,10.4,3.48,1.062,7.83,1.98,4.42,9.91,68.6,57.4,7.88,5.55,10.0,27.5,45.5,89.8,45.3,52.26,High
GMHCI-0050,2021,Poland,Europe,Upper-Middle,10.8,12.85,2.11,0.944,1.37,3.77,7.36,17.84,57.7,47.3,6.84,4.59,3.4,27.8,27.4,79.3,51.8,68.06,High
GMHCI-0051,2018,Italy,Europe,High,11.3,16.85,2.57,1.017,7.23,0.52,11.76,9.05,29.7,81.9,19.86,11.49,9.5,10.4,83.5,42.1,10.8,49.75,Moderate
GMHCI-0052,2020,Ghana,Africa,Lower-Middle,5.74,5.71,2.06,0.582,4.63,1.76,11.48,7.2,81.9,36.0,1.09,1.22,9.7,6.9,64.3,90.6,65.7,45.55,Moderate
GMHCI-0053,2018,Ethiopia,Africa,Low,4.57,7.85,0.99,0.436,3.63,0.83,10.09,3.64,95.8,21.2,0.33,0.8,8.0,2.0,49.2,68.1,82.4,45.56,Moderate
GMHCI-0054,2016,Ukraine,Europe,Lower-Middle,9.68,13.27,1.01,0.686,1.32,2.26,11.85,4.08,76.9,26.1,1.67,0.58,10.4,7.0,56.6,51.5,66.8,52.97,High
GMHCI-0055,2017,Indonesia,Asia,Lower-Middle,10.91,11.18,2.51,0.585,3.14,3.6,8.0,11.48,84.7,34.0,0.69,1.54,8.0,17.1,87.7,72.6,67.2,64.31,High
GMHCI-0056,2023,Argentina,South America,Upper-Middle,10.97,17.91,2.74,0.376,7.81,1.79,8.42,11.12,63.4,66.4,9.99,4.19,6.7,21.4,29.7,35.9,34.8,61.89,High
GMHCI-0057,2015,China,Asia,Upper-Middle,13.07,14.67,3.33,0.512,8.04,2.3,1.53,11.42,60.3,49.4,8.75,2.48,8.0,2.1,39.7,72.6,40.6,62.67,High
GMHCI-0058,2015,Australia,Oceania,High,16.71,12.6,3.11,0.518,2.06,3.51,9.84,12.75,35.8,94.8,17.17,6.33,8.4,23.1,74.6,87.4,0.0,57.85,High
GMHCI-0059,2018,Pakistan,Asia,Lower-Middle,9.63,11.22,2.26,0.362,8.87,1.38,9.8,9.13,74.3,33.5,1.41,1.94,9.4,14.0,79.4,40.3,69.9,58.11,High
GMHCI-0060,2021,Philippines,Asia,Lower-Middle,10.42,10.88,1.12,0.734,1.48,1.28,11.05,11.13,73.6,48.4,1.44,2.36,7.6,2.6,59.2,37.1,54.2,59.22,High
